alpha_values,MAE (val),MAE (all)
0.0,0.33773634988024254,0.21912757402060232
1e-06,0.3097144793068984,0.21266435717319662
3e-06,0.22414022197690656,0.1959200457874715
1e-05,0.22282764856406412,0.19580412391231627
3e-05,0.22491368525920735,0.19659768825842666
0.0001,0.23640680163996572,0.19866078367034445
0.0003,0.2528938574302927,0.20195648802047836
0.001,0.21728233930091162,0.19487101333927
0.003,0.2335516285083358,0.1983949508089342
0.01,0.21879559232362142,0.19624208955522257
0.03,0.2159368731964534,0.19635352736463973
0.1,0.21984183610813526,0.19931574674635924
0.3,0.21114405277685674,0.19873253831379953
1.0,0.2095186491611883,0.20037979641657647
3.0,0.20510406557053726,0.20096770244695525
10.0,0.20738147247576447,0.20467171914726476
100.0,0.21154640758349794,0.20980719913058085
1000.0,0.20786407306703966,0.2073731565540537
10000.0,0.20893956755536527,0.20771829592385166
